,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,party,state,industry,sector,senator,ptr_link,disclosure_date
0,2023-04-18,Spouse,ESS,"Essex Property Trust, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Real Estate Investment Trusts,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9fc025a0-f893-47b2-9252-a2820737a409/,2023-05-17
1,2023-04-18,Self,ESS,"Essex Property Trust, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,RI,Real Estate Investment Trusts,Consumer Services,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/9fc025a0-f893-47b2-9252-a2820737a409/,2023-05-17
3,2023-04-04,Spouse,UPS,"United Parcel Service, Inc. Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Republican,WV,Trucking Freight/Courier Services,Transportation,Shelley Moore Capito,https://efdsearch.senate.gov/search/view/ptr/60987939-a116-41ee-86c2-8ba920461691/,2023-05-15
4,2023-04-04,Spouse,MCD,McDonald's Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Republican,WV,Restaurants,Consumer Services,Shelley Moore Capito,https://efdsearch.senate.gov/search/view/ptr/60987939-a116-41ee-86c2-8ba920461691/,2023-05-15
5,2023-04-04,Spouse,DUK,Duke Energy Corporation (Holding Company) Common S,Stock,Sale (Full),"$15,001 - $50,000",--,Republican,WV,Power Generation,Public Utilities,Shelley Moore Capito,https://efdsearch.senate.gov/search/view/ptr/60987939-a116-41ee-86c2-8ba920461691/,2023-05-15
6,2023-04-28,Spouse,TTD,"The Trade Desk, Inc. - Class A Common Stock",Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,"Computer Software: Programming, Data Processing",Technology,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15
7,2023-04-28,Spouse,PTON,"Peloton Interactive, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,Democrat,CO,Recreational Products/Toys,Consumer Non-Durables,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15
8,2023-04-28,Spouse,DIS,Walt Disney Company (The) Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,Services-Misc. Amusement & Recreation,Consumer Services,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15
9,2023-04-28,Spouse,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,Television Services,Consumer Services,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15
10,2023-04-28,Spouse,CCCS,CCC Intelligent Solutions Holdings Inc. Common Sto,Stock,Sale (Full),"$15,001 - $50,000",--,Democrat,CO,Computer Software: Prepackaged Software,Technology,John W. Hickenlooper,https://efdsearch.senate.gov/search/view/ptr/1fd6d368-0262-4c40-bc47-1fff0f8a3ae6/,2023-05-15
